區塊,欄位名稱,元件類型,預設值/選項,說明
1 核心設定,MA1,數字輸入,5,均線1週期
1 核心設定,MA2,數字輸入,10,均線2週期
1 核心設定,MA3,數字輸入,20,均線3週期
1 核心設定,MA4,數字輸入,60,均線4週期
1 核心設定,MA5(長期),數字輸入,240,均線5週期(長期線)
1 核心設定,多空排用幾條,下拉選單,4條(MA1>2>3>4) / 3條(MA1>2>3),判斷多排/空排要看幾條均線
1 核心設定,走勢判斷回看（根）,數字輸入,5,走勢斜率計算回看根數
1 核心設定,走勢門檻（點/根）,數字輸入,0,斜率門檻；0=只要不為0就算有走勢
1 核心設定,來回成本（點）,數字輸入,2,每筆交易扣除成本
1 核心設定-其他成交細節(可收合),進場價,下拉選單,當根收盤 / 次根開盤,進場成交價基準
1 核心設定-其他成交細節(可收合),觸及容差（%）,數字輸入,0.3,支撐/壓力觸及判定容差
2 進場邏輯,方向,切換按鈕,做多 / 做空,與最上方工具列的方向切換同步
2 進場邏輯,首次進場條件,條件chip(可開條件選擇器),預設[多排],空手時要全部成立才進場
2 進場邏輯,啟用「再次進場」條件,勾選+條件chip,預設不啟用,出場後改用這組(通常較嚴格)；不啟用則沿用首次進場
2 進場邏輯-60K策略庫(可收合),疊加模式,勾選框,預設不勾,勾選後套用策略庫只疊加條件、不清除現有勾選也不自動回測
2 進場邏輯-60K策略庫(可收合),策略組合表,按鈕+表格(8組預設組合),,一鍵套用多/空排列組合
2 進場邏輯-進階過濾(可收合),開高走低日不做多排(bull),勾選框,預設不勾,首根K開最高收黑當天整天不用多排條件進場
2 進場邏輯-進階過濾(可收合),開高走低日整天不進場(多空都不做),勾選框,預設不勾,首根K開最高收黑當天整天不進場(不分方向)
2 進場邏輯-進階過濾(可收合),只做日盤(夜盤不進場),勾選框,預設不勾,只在08:45-13:45才進場，夜盤不開新倉
2 進場邏輯,進場週期,下拉選單,依已匯入週期,僅跨週期模式顯示
3 出場與風控,出場條件,條件chip(可開條件選擇器),預設[死亡交叉],持倉時任一成立就出場
3 出場與風控,停損(點),勾選+數字輸入,預設勾選/80,
3 出場與風控,停利(點),勾選+數字輸入,預設不勾/150,
3 出場與風控,移動停損 回吐(點),勾選+數字輸入,預設不勾/60,
3 出場與風控,風控摘要(riskSummary),純顯示文字,自動生成,依上面勾選即時顯示「目前啟用：…」
3 出場與風控-更多風控選項(可收合),夜盤不停損,勾選框,預設不勾,夜盤持倉不查停損/停利/移動停損(訊號出場照常)
3 出場與風控-更多風控選項(可收合),壓力支撐過濾(60分/日線),勾選框,預設不勾,進場價碰到60分/日線壓撐就不進
3 出場與風控-更多風控選項(可收合),遇壓撐出場,勾選框,預設不勾,持倉碰到大週期壓力/支撐就出場
3 出場與風控-更多風控選項(可收合),當日平倉(不留倉過夜),勾選框,預設不勾,日盤最後一根K強制平倉
3 出場與風控-更多風控選項(可收合),半夜12點後不留倉,勾選框,預設不勾,夜盤跨午夜前最後一根K強制平倉
3 出場與風控,出場週期,下拉選單,依已匯入週期,僅跨週期模式顯示
4 算倉位,本金(元),數字輸入,500000,
4 算倉位,單筆風險上限(%),數字輸入,1.5,單筆停損最多虧本金百分之幾
4 算倉位,首單比例(%),數字輸入,50,第一次進場先下總口數的幾成
4 算倉位,保證金/口(元),數字輸入,9200,隨商品自動帶入，可自行改
4 算倉位,月目標(元),數字輸入,100000,
4 算倉位,試算商品,下拉選單,微台(10元/點) / 小台(50元/點) / 大台(200元/點),
4 算倉位,試算按鈕,按鈕,🧮 試算（建議口數）,算出建議口數/首單/加碼/風險紅線
